"fase";"documento";"data";"unidadeGestora";"gestao";"favorecido";"valor";"observacaoDoc";"numeroProcesso";"elementoDespesa";"link";"real"
"PAGAMENTO";"2019NP00083";"13/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##0.031.104-## - ANA MICHELE DE FARIAS CABRAL";"8.000,00";"PAGAMENTO REF. COM VERBA INDENIZATORIA ANA MICHELLE DE FARIAS CABRAL 12/2018";"53/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751504&dt=20200602151718&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1JA0F6iTNRt791%2buBcBuywt&dt=20200602151718";8000
"PAGAMENTO";"2019NP00009";"18/01/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##8.202.784-## - ANTHONY THIAGO CARTAXO FERREIRA";"8.000,00";"PAGAMENTO REF. VERBA INDENIZATORIA ANTHONY THAAGO CARTAXO FERREIRA 01/2019";"20/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751432&dt=20200602151719&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1IsjcPKDBYM%2bUDWtio0MNib&dt=20200602151719";8000
"PAGAMENTO";"2019NP00008";"18/01/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##7.843.514-## - FATIVAN ALVES MOURA DE PAIVA";"3.200,00";"PAGAMENTO REF. COM VERBA INDENIZATORIA FATIVAN ALVES MOURA DE PAIVA 01/2019";"18/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751431&dt=20200602151719&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1IXtGr7RGAv2moJ3cB1L51O&dt=20200602151719";3200
"PAGAMENTO";"2019NP00065";"05/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##8.230.184-## - GUSTAVO NEGOCIO DE FREITAS";"4.600,00";"PAGAMENTO REF. COM VERBA INDENIZATORIA GUSTAVO NEGOCIO DE FREITAS 12/2018";"40/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751487&dt=20200602151720&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1L6KuDQoPqBAuHDqN%2blG9LY&dt=20200602151720";4600
"PAGAMENTO";"2019NP00035";"24/01/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##9.324.324-## - KATIA CARVALHO DE LIMA";"8.000,00";"PAGAMENTO REF. COM VERBA INDENIZATORIA KATIA CARVALHO DE LIMA 12/2018";"23/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751457&dt=20200602151721&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1JCu%2fcxaKll%2fAbAFmd66qtf&dt=20200602151721";8000
"PAGAMENTO";"2019NP00034";"22/01/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##3.495.324-## - RAIMUNDA NILDA DA SILVA CRUZ";"5.649,00";"PAGAMENTO REF. COM VERBA INDEZATORIA RAIMUNDA NILDA DA SILVA CRUZ 12/2018";"22/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751456&dt=20200602151721&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1LT%2ftBvE3NZYAbAFmd66qtf&dt=20200602151721";5649
"PAGAMENTO";"2019NP00010";"18/01/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##5.742.444-## - RHALESSA CLEDYLANE FREIRE DOS SANTOS";"3.200,00";"PAGAMENTO REF. COM VERBA INDENIZATORIA RHALESSA CLEDYLANE FREIRE DOS SANTOS 01/2019";"19/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751433&dt=20200602151722&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1Jmhaq5H6Mg7b5OeoKHy7GH&dt=20200602151722";3200
"PAGAMENTO";"2019NP00069";"04/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##2.328.604-## - ROGERIO CESAR SANTIAGO";"8.000,00";"PAGAMENTO REF. COM VERBA INDNIZATORIA ROGERIO CESAR SANTIAGO 12/2018";"41/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751491&dt=20200602151722&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1K9A6Dxp9ZQe9rJVkhKBokI&dt=20200602151722";8000
"PAGAMENTO";"2019NP00029";"22/01/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##1.367.324-## - ROSÂNGELA KALINA VELOSO DA SILVA";"3.060,00";"PAGAMENTO REF. COM CONFECCAO DE FOTOGRAFIAS OFICIAIS DOS 18 DEZOITO VEREADORES PARA ATUALIZACAO NO SITE OFICIAL DA CAMARA MUNICIPAL DE PARNAMIRIM";"349/2019";"DESPESAS DE EXERCÍCIOS ANTERIORES";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751451&dt=20200602151723&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0UDtT%2fGoPLJCj7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1IfMxGiqicABgbAFmd66qtf&dt=20200602151723";3060
"PAGAMENTO";"2019NP00117";"20/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##2.976.074-## - ABIDENE SALUSTIANO DA SILVA";"3.600,00";"PAGAMENTO REF. COM O 26 CONGRESSO MUNICIPALISTA DO BRASIL NOS DIAS 21 22 23 24 E 25 DE FEVEREIRO DE 2019 NA CIDADE DE JOAO PESSOA COM PARTICIPACAO DE AGENTES POLITICOS DESTA CASA LEGISLATIVA";"74/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751537&dt=20200602151723&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1JDq%2fcTBcybPu%2f2JFgzIjXs&dt=20200602151723";3600
"PAGAMENTO";"2019NP00326";"24/04/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##2.976.074-## - ABIDENE SALUSTIANO DA SILVA";"3.600,00";"PAGAMENTO REF. COM 29 CONGRESSOMUNICIPAL DO BRASIL DIRIGIDO A PREFEITOS VICE PREFEITOS VEREADORES E SERVIDORES PUBLICOS EM GERAL IMB CURSOS INSTITUTO MUNICIPALISTA DO BRASIL DE 25 A 29 DE ABRIL DE 2019 EM JOAO PESSOA/ PB HOTEL VICTORY BUSINESS FLAT AV ALMIRANTE 310 TAMBAU";"195/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751743&dt=20200602151723&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1JDq%2fcTBcybPu%2f2JFgzIjXs&dt=20200602151723";3600
"PAGAMENTO";"2019NP00513";"19/06/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##2.976.074-## - ABIDENE SALUSTIANO DA SILVA";"3.600,00";"PAGAMENTO REF. COM 32 CONGRESSO MUNICIPALISTA DO BRASIL PARA PREFEITOS VICE PREFEITOS VEREADORES E DEMAIS SERVIDORES PUBLICOS ENTRE OS DIAS 19 A 23/06/2019 EM RECIFE /PE";"314/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751930&dt=20200602151723&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1JDq%2fcTBcybPu%2f2JFgzIjXs&dt=20200602151723";3600
"PAGAMENTO";"2019NP00678";"19/08/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##2.976.074-## - ABIDENE SALUSTIANO DA SILVA";"3.600,00";"PAGAMENTO REF. COM 986 CURSO DE CAPACITACAO PARA VEREADORES PREFEITOS VICE PREFEITOS SECRETARIOS MUNICIPAIS GESTORES ASSESSORES E SERVIDORES PUBLICOS BOAS PRATICAS EM TRASPARENCIA E PARTICIPACAO SOCIAL DIAS 20 A 24 DE AGOSTO DE 2019 EM JOAO PESSOA PB";"444/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1752094&dt=20200602151723&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1JDq%2fcTBcybPu%2f2JFgzIjXs&dt=20200602151723";3600
"PAGAMENTO";"2019NP01005";"25/11/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##2.976.074-## - ABIDENE SALUSTIANO DA SILVA";"3.600,00";"Pagamento Ref. A Despesa com 1000º Curso de Capacitação Para Vereadores, Prefeitos, Vice-Prefeitos, Secretarios Municipais, Gestores, Assessores e Servidores Públicos - Qualificar Capacitação e Treinamento de 26 a 30 de Novembro de 2019 em João Pessoa-PB.";"629/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1752414&dt=20200602151723&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1JDq%2fcTBcybPu%2f2JFgzIjXs&dt=20200602151723";3600
"PAGAMENTO";"2019NP00116";"20/02/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##5.695.894-## - ALEX SANDRO DA CONCEIÇÃO NUNES DA SILVA";"3.600,00";"PAGAMENTO REF. COM O 26 CONGRESSO MUNICIPALISTA DO BRASIL NOS DIAS 21 22 23 24 E 25 DE FEVEREIRO DE 2019 NA CIDADE DE JOAO PESSOA COM PARTICIPACAO DE AGENTES POLITICOS DESTA CASA LEGISLATIVA";"73/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751536&dt=20200602151724&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1I6%2fZpxxqS1VQyYv2hwkGKk&dt=20200602151724";3600
"PAGAMENTO";"2019NP00325";"24/04/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##5.695.894-## - ALEX SANDRO DA CONCEIÇÃO NUNES DA SILVA";"3.600,00";"PAGAMENTO REF. COM 29 CONGRESSOMUNICIPAL DO BRASIL DIRIGIDO A PREFEITOS VICE PREFEITOS VEREADORES E SERVIDORES PUBLICOS EM GERAL IMB CURSOS INSTITUTO MUNICIPALISTA DO BRASIL DE 25 A 29 DE ABRIL DE 2019 EM JOAO PESSOA/ PB HOTEL VICTORY BUSINESS FLAT AV ALMIRANTE 310 TAMBAU";"198/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751742&dt=20200602151724&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1I6%2fZpxxqS1VQyYv2hwkGKk&dt=20200602151724";3600
"PAGAMENTO";"2019NP00516";"26/06/2019";"01 - Poder Legislativo";"101 - CÂMARA MUNICIPAL DE PARNAMIRIM";"##5.695.894-## - ALEX SANDRO DA CONCEIÇÃO NUNES DA SILVA";"3.600,00";"PAGAMENTO REF. COM DIARIAS PARA 0 7 ENCONTRO DE INOVACAO NA ADMINISTRACAO PUBLICA NOS DIAS 26 A 30 DE JUNHO DE 2019 EM JOAO PESSOA /PB";"331/2019";"DIÁRIAS - CIVIL";"http://201.59.185.194:8080/transparencia/despesaspagamento.aspx?iddoc=1751933&dt=20200602151724&exercicio=2019&mes=12&pos=0&fase=0&perfil=1&nvl=5&flt=c%2by5bUIKMNRcQa2cP4gSidnWd%2bggPAuNX%2bYG9HqcgogWqhLEMCwkt8mf66Nxskl0APuL5X73WN2j7VcdKvAdDdosYgD%2fcO91exTznNzFYZYIkrx3KD0QWw0BqM0m%2bcca9c%2fDYuFCO1I6%2fZpxxqS1VQyYv2hwkGKk&dt=20200602151724";3600
